equipe_a,equipe_b,points_a,points_b
Charlie & Walter,Tanguy & Marguerite,,
Charlie & Walter,Jeanne & Éric,13,5
Charlie & Walter,Penny & Billie,13,11
Charlie & Walter,Laszlo,12,14
Tanguy & Marguerite,Jeanne & Éric,9,13
Tanguy & Marguerite,Penny & Billie,6,13
Tanguy & Marguerite,Laszlo,13,9
Jeanne & Éric,Penny & Billie,,
Jeanne & Éric,Laszlo,,
Penny & Billie,Laszlo,3,13
Tanguy & Marguerite,Charlie & Walter,,
Jeanne & Éric,Charlie & Walter,,
Penny & Billie,Charlie & Walter,,
Laszlo,Charlie & Walter,,
Jeanne & Éric,Tanguy & Marguerite,,
Penny & Billie,Tanguy & Marguerite,,
Laszlo,Tanguy & Marguerite,,
Penny & Billie,Jeanne & Éric,,
Laszlo,Jeanne & Éric,,
Laszlo,Penny & Billie,,
